Type,Age,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt
2,1,266,2,2,1,1,2,2,2,1,1,0,41401,0,5
1,2,307,3,2,3,1,3,3,2,1,5,0,41401,0,3
2,1,266,1,1,2,1,3,1,2,1,1,0,41326,0,2
1,3,307,1,2,2,1,1,1,3,1,1,0,41401,0,7
1,36,19,2,1,2,1,3,3,3,1,1,0,41401,0,4
1,3,307,2,1,2,1,1,1,2,1,1,0,41330,0,4
1,1,307,2,2,2,2,2,1,2,1,1,0,41326,0,1
2,2,266,2,1,2,2,2,2,2,1,1,0,41401,0,8
2,2,266,1,1,1,1,2,2,2,1,1,0,41327,0,11
1,4,307,2,2,2,1,1,1,2,1,1,0,41326,0,2
1,3,307,1,2,2,1,2,2,2,1,2,0,41330,0,1
2,12,265,1,1,2,2,1,1,2,1,1,0,41332,0,3
2,3,292,2,2,2,2,1,1,2,2,1,20,41326,0,2
1,1,307,3,1,2,2,2,2,2,1,4,0,41336,0,1
2,18,266,1,7,2,1,2,1,1,1,1,0,41401,0,1
1,1,307,3,1,2,2,2,2,2,1,3,0,41326,0,11
1,8,213,2,2,1,2,2,2,1,1,1,50,41326,0,4
1,4,307,1,7,2,2,1,1,2,1,1,0,41326,0,5
1,2,307,1,1,2,1,1,1,2,1,1,0,41326,0,1
1,1,307,1,2,2,3,2,2,2,1,1,0,41401,0,1
1,3,307,2,1,2,1,1,1,2,1,1,200,41326,0,5
1,1,307,2,1,2,1,2,2,2,1,1,0,41326,0,5
2,3,265,2,2,2,2,2,2,2,1,2,0,41401,0,2
2,3,266,1,1,2,1,2,1,2,1,1,50,41401,0,7
1,2,218,2,1,1,1,2,1,2,1,1,0,41326,0,10
2,1,265,2,1,2,2,2,2,2,1,1,0,41336,0,3
2,4,299,2,6,1,2,2,2,2,1,1,0,41326,0,5
2,3,265,2,1,1,2,2,2,2,1,1,0,41326,0,1
2,3,265,2,1,1,2,2,1,2,1,1,0,41325,0,5
2,9,266,1,3,2,1,1,3,2,1,3,0,41326,0,2
1,3,307,2,1,2,1,1,1,2,1,1,0,41326,0,4
2,4,266,3,1,2,1,1,2,1,1,2,0,41326,1,7
2,2,266,3,1,1,2,2,1,2,1,2,0,41401,0,9
1,24,307,2,1,2,1,1,1,1,1,1,0,41326,0,1
1,12,307,2,7,2,1,1,1,1,1,1,0,41326,0,1
2,4,265,2,3,3,2,2,1,1,1,1,0,41401,0,2
2,6,266,2,2,2,1,2,2,2,1,2,0,41326,0,2
2,24,265,3,1,1,2,2,2,2,1,6,0,41401,0,5
2,6,266,1,1,2,2,2,2,2,2,1,0,41401,0,1
1,3,307,2,2,2,3,3,1,3,1,2,0,41326,0,4
1,36,307,2,2,3,2,2,2,1,1,1,0,41336,0,1
2,0,266,3,1,1,1,2,2,2,1,6,0,41326,0,5
2,1,266,3,1,2,1,2,2,2,1,4,0,41326,0,4
2,12,266,1,6,2,1,1,1,1,1,1,0,41401,0,5
2,36,285,1,1,2,2,1,1,2,1,1,0,41401,0,2
1,6,307,2,2,3,1,1,1,2,1,1,0,41401,0,5
1,24,20,2,1,2,2,1,1,1,1,1,0,41326,0,11
2,3,266,1,1,1,1,1,1,2,1,1,0,41327,1,4
2,7,265,2,2,2,2,2,2,2,1,2,0,41401,0,5
2,3,299,2,1,1,1,2,1,2,1,1,0,41401,0,5
2,1,266,1,1,1,1,2,1,2,1,1,0,41327,0,1
1,1,307,3,1,2,2,2,2,2,1,5,0,41401,0,11
1,6,307,1,3,2,1,2,2,2,1,1,0,41401,0,1
2,2,266,1,1,2,1,2,1,2,1,1,0,41401,0,12
1,5,307,2,1,1,1,1,1,1,1,1,0,41326,0,4
2,2,266,1,1,1,1,3,3,3,1,1,0,41401,0,3
2,3,266,1,5,2,1,2,1,2,1,1,0,41401,1,12
2,2,266,2,1,2,1,2,1,2,1,1,50,41326,1,7
1,2,307,2,1,2,1,2,2,2,1,1,0,41326,0,2
1,12,307,2,2,2,1,1,1,1,1,1,0,41401,0,3
2,3,264,1,2,2,3,2,1,2,1,1,38,41326,0,4
1,1,307,2,2,2,1,2,2,2,1,1,20,41327,0,1
1,3,307,1,2,2,1,1,1,2,1,1,0,41401,0,2
2,2,247,1,1,1,2,2,1,2,1,1,50,41326,0,5
1,36,218,1,7,2,3,3,1,2,1,1,0,41326,0,5
2,6,266,2,3,1,2,3,3,3,1,1,1,41401,0,1
2,3,265,2,7,2,2,2,2,2,1,1,0,41326,0,1
1,1,307,2,7,2,2,2,2,2,1,1,0,41326,0,1
2,2,266,3,5,1,1,2,2,2,1,2,0,41326,0,13
1,1,307,3,1,2,1,2,1,2,1,4,0,41401,0,7
1,6,307,2,2,1,1,1,1,2,1,1,0,41326,0,2
1,2,307,3,2,3,2,2,2,2,1,4,0,41326,0,1
1,3,307,2,3,2,1,1,1,2,1,1,0,41326,0,2
1,1,307,1,1,2,2,3,3,2,1,1,0,41326,0,1
1,10,307,1,1,2,1,1,1,1,1,1,0,41326,0,5
1,7,307,2,1,2,1,1,1,2,1,1,0,41326,0,4
2,3,266,2,1,2,1,2,1,2,1,1,0,41401,0,5
2,12,265,1,1,2,2,1,1,1,1,1,0,41330,0,5
1,12,307,2,3,2,1,1,1,1,1,1,0,41326,0,3
2,4,266,1,2,1,1,1,1,2,1,1,0,41401,0,5
1,2,307,1,2,2,2,2,2,2,1,1,0,41326,0,5
1,2,307,3,2,2,1,2,2,2,1,9,0,41327,0,3
2,2,266,1,1,2,1,2,1,2,1,1,0,41401,0,2
2,4,266,1,7,1,1,2,2,2,1,1,0,41326,0,4
2,0,266,1,1,1,1,2,2,2,1,1,0,41326,0,1
2,3,266,1,1,2,1,1,1,2,1,1,0,41326,0,3
1,6,307,1,2,2,1,1,1,2,1,1,0,41326,1,8
2,4,285,3,1,2,2,2,2,2,1,6,0,41326,0,12
2,5,266,2,7,2,1,2,1,2,1,1,0,41401,0,3
1,2,307,2,2,2,1,1,1,2,1,1,0,41401,0,15
2,24,265,2,5,2,2,1,1,1,1,1,20,41326,0,3
2,12,265,1,6,1,2,3,3,3,2,1,1,41401,0,5
2,4,292,2,2,1,1,2,2,2,1,1,0,41401,0,1
1,8,307,2,2,2,2,1,1,2,1,1,0,41326,0,2
2,1,266,2,6,2,1,2,2,2,1,1,0,41326,0,5
1,2,307,2,5,2,2,2,1,2,1,1,0,41326,0,2
1,3,307,3,2,2,1,1,1,2,1,4,0,41327,0,2
1,4,307,2,1,2,2,3,3,3,1,2,0,41326,0,0
1,2,117,2,1,2,1,2,1,2,1,1,0,41326,0,1
2,4,266,2,2,2,1,2,1,2,1,1,0,41326,0,2
2,2,266,3,1,2,2,2,2,2,1,5,0,41326,0,5
2,1,266,3,4,2,1,2,2,2,1,6,0,41336,0,5
2,12,265,2,4,1,2,3,3,2,1,1,0,41401,0,3
1,13,307,1,1,2,1,2,2,2,1,1,0,41401,0,4
1,5,200,2,2,2,1,2,1,2,1,1,0,41326,0,5
2,1,266,2,1,1,1,2,2,2,1,1,0,41401,0,1
2,12,266,2,1,2,1,1,1,1,3,1,0,41336,0,10
2,28,266,1,1,2,1,1,1,1,1,1,0,41327,0,7
1,1,213,3,1,1,1,2,2,2,1,6,0,41326,0,11
1,2,307,2,1,2,1,2,2,2,1,1,0,41326,0,2
2,3,292,2,1,2,2,2,2,2,1,1,0,41326,0,9
1,42,18,1,2,2,2,2,2,1,2,1,0,41326,0,1
2,24,292,2,1,2,2,3,3,3,1,1,0,41327,0,3
2,12,265,1,1,2,2,1,1,1,1,1,0,41332,0,3
2,2,266,2,1,1,1,2,2,2,1,1,0,41326,0,5
1,52,119,1,1,2,2,1,1,2,1,1,100,41401,0,5
1,32,205,1,7,1,3,3,3,3,1,1,0,41326,0,4
1,1,307,2,1,2,3,1,1,2,1,1,0,41326,0,3
1,3,307,1,2,2,1,2,1,2,1,1,0,41330,0,4
2,36,266,2,2,2,2,1,1,1,1,1,120,41326,0,3
2,5,266,1,1,2,1,2,2,1,1,1,0,41326,0,5
2,48,266,1,5,2,1,2,2,1,3,1,0,41326,0,7
2,10,299,2,3,3,1,3,3,1,1,1,0,41401,0,5
1,48,307,2,3,2,2,2,1,1,1,1,0,41325,0,1
2,12,266,2,1,2,1,2,2,2,1,1,0,41401,0,1
1,2,307,2,1,2,1,2,2,2,1,1,0,41326,0,11
1,12,307,1,2,2,1,3,3,1,1,2,0,41326,0,6
2,8,266,1,1,2,1,1,1,1,1,1,0,41326,0,3
2,1,266,3,1,1,1,2,2,2,1,2,0,41401,1,5
1,12,218,2,2,2,2,2,2,2,1,1,0,41326,0,1
2,2,266,3,1,1,1,2,1,2,1,5,20,41401,0,5
1,1,307,2,1,2,1,2,2,2,1,1,0,41327,0,2
1,14,213,2,7,2,1,1,1,1,1,1,0,41326,0,2
1,2,307,1,1,2,2,1,1,2,1,1,0,41326,0,5
1,3,307,1,2,2,2,1,1,2,1,1,200,41326,0,2
1,84,20,2,1,2,1,1,1,1,1,1,100,41327,0,1
2,2,266,2,2,1,1,2,2,2,1,1,50,41326,0,1
2,12,265,2,1,2,2,1,1,1,1,1,0,41326,0,1
1,2,307,2,7,2,2,1,1,3,1,1,0,41401,0,1
1,12,307,2,7,2,1,1,1,1,1,1,0,41332,0,28
1,12,307,2,1,1,1,1,1,1,1,1,0,41326,0,2
1,2,307,1,2,2,2,1,1,2,1,1,50,41326,0,1
1,24,218,1,7,2,2,3,3,3,1,1,100,41327,0,3
2,12,264,2,1,2,3,2,2,1,1,1,100,41326,0,2
1,84,109,1,3,3,2,3,3,3,1,1,0,41401,0,2
2,1,266,3,2,2,2,3,3,3,1,3,0,41401,0,5
1,9,307,1,2,2,2,2,1,1,1,1,0,41330,0,1
1,2,307,2,2,2,1,2,1,2,2,1,0,41401,0,4
2,3,266,1,1,1,1,2,2,2,1,2,0,41326,0,2
2,1,266,2,1,1,1,2,1,2,1,1,0,41401,0,1
1,1,307,2,1,2,1,1,1,2,1,1,1,41326,0,4
2,2,266,3,2,2,1,2,2,2,1,3,0,41326,0,5
1,2,307,2,1,2,1,1,1,2,1,1,0,41326,0,6
1,1,307,2,2,1,1,2,2,2,1,1,0,41326,0,2
2,3,266,1,6,1,1,2,2,2,1,2,0,41336,0,4
2,3,266,1,2,1,1,2,2,2,1,1,0,41326,1,8
1,72,20,2,2,2,2,1,1,3,1,1,0,41401,0,0
2,1,299,2,1,1,1,2,1,2,1,1,0,41326,0,2
2,12,266,2,6,2,1,1,1,1,1,1,0,41326,0,5
2,2,266,2,2,2,1,2,1,2,1,1,0,41401,0,2
1,2,307,2,2,2,1,2,1,2,1,8,0,41326,0,9
2,6,266,2,3,1,1,1,1,2,1,1,0,41326,0,4
2,4,266,2,2,2,1,2,1,2,1,2,0,41326,0,2
2,4,265,2,3,2,2,2,1,2,1,2,0,41401,0,9
1,2,307,3,1,2,1,2,2,2,1,5,150,41326,0,24
2,4,266,2,1,2,1,2,2,2,1,1,0,41325,0,6
2,30,299,1,3,2,1,1,1,1,1,1,0,41401,0,2
1,5,307,2,2,2,2,2,1,2,1,1,0,41326,0,1
2,4,265,1,1,1,2,3,3,3,1,1,0,41326,0,2
1,2,307,2,1,2,2,3,3,2,1,1,0,41326,0,4
1,1,307,2,1,2,2,1,1,2,1,1,0,41326,0,7
2,12,265,1,1,3,2,3,3,3,1,1,0,41367,0,1
2,24,266,3,1,2,1,1,1,1,1,5,0,41326,0,8
1,48,179,1,5,1,2,1,1,1,1,1,0,41401,0,1
2,2,266,2,4,2,2,2,2,2,1,1,0,41326,0,2
1,1,307,2,2,1,2,2,2,2,1,1,0,41326,0,5
2,1,265,2,1,1,1,2,2,2,1,1,0,41401,0,11
1,2,69,1,1,2,2,1,1,2,1,1,100,41401,0,1
1,2,307,2,1,2,1,1,2,2,1,3,0,41332,0,1
2,1,265,3,1,2,2,2,2,3,1,2,0,41330,0,3
1,48,179,1,7,2,2,1,3,2,1,1,0,41326,0,1
1,4,218,1,5,2,1,1,1,1,1,1,200,41326,0,1
1,48,119,2,1,2,2,1,1,1,1,1,0,41326,0,0
1,2,307,1,1,2,1,1,1,2,1,1,0,41326,0,5
2,1,266,2,4,1,1,2,1,2,2,1,0,41401,0,3
1,2,307,2,1,2,2,1,1,2,1,1,0,41326,0,3
1,2,307,2,1,2,2,1,1,2,1,1,0,41326,0,7
1,2,307,2,1,1,1,2,2,2,1,4,0,41327,0,5
2,2,266,3,1,1,1,2,2,2,1,2,0,41326,0,5
2,4,266,3,1,2,1,2,2,2,1,2,0,41326,0,4
2,3,265,3,3,1,2,2,2,2,1,2,0,41401,0,5
1,1,307,3,1,2,2,3,3,2,1,6,0,41326,0,2
2,2,266,1,6,2,1,2,2,2,1,1,0,41326,0,5
2,1,280,2,6,1,2,3,3,3,2,1,1,41326,0,3
2,6,266,2,5,2,1,1,1,2,1,1,50,41401,0,3
1,2,307,3,1,2,2,1,2,3,1,8,10,41326,0,7
2,7,288,2,2,1,2,3,3,2,1,1,0,41326,0,4
2,2,266,2,6,1,1,3,3,3,1,1,0,41326,0,5
2,1,265,2,1,2,2,2,2,2,1,2,20,41326,0,1
2,12,266,1,3,2,1,1,1,1,1,2,0,41326,0,2
2,2,266,2,3,2,1,2,1,2,1,1,30,41326,0,5
1,2,189,1,1,3,2,2,2,2,1,2,100,41401,0,3
1,84,128,2,2,2,1,1,1,1,1,1,0,41401,0,1
1,3,307,1,2,2,1,1,1,2,1,1,0,41326,0,4
1,3,206,3,1,3,2,1,1,2,1,3,0,41326,0,7
1,24,307,1,1,2,2,2,1,2,1,1,0,41401,0,5
2,2,266,1,1,2,1,2,1,2,1,1,0,41326,0,5
2,2,266,3,3,2,1,2,2,2,1,2,0,41401,0,1
1,60,169,2,5,1,2,1,1,1,1,1,0,41326,0,2
1,2,141,2,3,2,2,1,1,2,1,1,0,41326,0,5
1,60,195,1,1,1,1,3,3,2,1,1,0,41326,0,3
2,2,265,1,7,2,2,1,1,2,2,1,0,41401,0,9
1,3,307,2,1,1,1,2,3,3,1,3,0,41326,1,4
2,5,299,2,1,1,3,1,1,3,1,1,0,41326,0,4
2,2,292,2,2,1,1,2,1,2,2,1,0,41326,0,10
2,36,264,1,1,3,3,2,2,1,1,1,0,41401,0,5
1,36,179,2,5,1,1,1,1,1,1,1,0,41401,0,2
2,10,266,1,2,2,1,2,1,1,1,1,5,41326,0,3
1,24,307,1,5,1,1,3,3,1,1,1,0,41401,0,1
2,1,266,1,7,1,1,2,2,2,1,1,0,41326,0,4
2,36,280,1,1,4,3,1,1,1,1,2,200,41326,0,3
1,2,307,2,7,1,2,2,2,2,1,1,0,41401,0,2
1,24,307,2,1,2,1,1,1,1,1,1,50,41327,0,4
2,2,266,3,1,1,1,2,1,2,1,6,0,41401,0,3
1,4,307,2,7,1,1,3,1,1,1,1,0,41326,0,2
2,1,265,3,1,1,2,2,2,2,1,4,0,41326,0,5
1,2,307,2,2,1,1,1,1,2,1,1,0,41326,0,4
1,3,307,1,1,2,1,3,3,3,1,1,0,41326,1,3
2,36,265,2,1,2,1,1,1,1,1,2,0,41401,0,3
1,2,307,2,1,2,1,2,1,2,1,1,0,41330,0,1
2,3,285,2,1,2,2,2,2,2,1,1,50,41326,0,5
2,2,266,1,3,1,1,2,2,2,2,1,0,41326,0,3
2,2,265,2,6,2,2,1,1,2,1,2,0,41401,0,4
1,1,307,2,1,2,1,2,2,2,1,1,0,41326,0,2
1,4,307,2,5,2,2,3,3,2,1,1,0,41326,0,2
1,18,103,1,1,3,2,3,3,3,1,1,0,41401,0,0
2,3,303,2,1,2,2,1,1,2,1,1,0,41326,0,5
2,24,266,2,4,2,1,1,1,2,1,1,0,41401,0,6
1,96,19,1,2,2,1,1,1,1,1,1,0,41401,0,2
1,2,307,2,1,2,1,1,1,2,1,1,0,41327,0,6
2,2,266,1,2,2,1,2,1,2,1,1,0,41326,1,2
1,6,60,2,2,1,1,3,3,2,1,1,250,41327,0,5
2,2,266,1,3,2,1,2,1,2,1,1,0,41401,0,10
1,2,307,2,1,2,2,1,1,2,1,1,0,41326,0,7
1,3,307,2,2,2,1,2,2,2,1,1,0,41401,0,4
2,3,265,2,1,2,2,2,2,2,1,1,0,41326,0,1
2,2,266,2,1,1,1,2,1,2,1,1,0,41326,0,6
1,12,307,3,1,3,1,2,1,2,1,2,0,41326,0,5
1,2,307,2,2,2,1,1,1,2,1,1,0,41401,0,1
1,1,307,3,1,2,1,2,2,2,1,7,0,41336,0,3
2,3,265,1,7,2,2,3,3,3,1,1,0,41326,0,1
2,12,266,2,2,2,2,2,2,3,1,1,0,41326,0,5
1,2,307,2,2,2,2,2,1,2,1,1,0,41326,0,1
2,12,265,1,7,1,1,1,1,1,1,1,0,41401,0,5
2,1,266,1,1,2,1,2,2,2,1,1,0,41401,0,5
1,84,128,2,2,1,2,1,1,1,1,1,0,41326,0,5
1,2,307,2,1,2,2,1,1,2,1,1,0,41326,0,4
2,4,266,1,3,2,2,2,2,2,1,1,0,41326,0,1
2,15,243,3,1,1,1,2,2,1,1,3,0,41326,0,3
1,13,178,1,5,1,2,1,1,1,1,1,0,41332,0,3
2,92,276,2,1,2,3,1,2,1,1,1,50,41401,0,3
1,4,307,2,4,1,2,2,1,1,1,1,0,41326,0,8
1,2,307,1,1,2,2,3,3,3,1,1,0,41324,0,1
1,24,307,2,4,3,3,2,2,2,1,1,0,41401,0,2
1,36,307,2,1,2,1,2,2,1,1,1,0,41326,0,2
1,1,307,1,1,2,2,2,2,2,1,1,0,41326,0,2
1,36,189,2,1,3,1,1,1,1,1,2,0,41401,0,4
2,6,266,2,1,1,1,1,1,1,1,1,0,41401,0,4
2,3,266,1,3,2,1,2,2,2,1,1,0,41401,0,2
2,1,266,2,1,2,1,2,1,2,1,1,0,41401,0,3
1,10,205,2,1,2,2,1,3,3,1,1,0,41326,0,3
1,1,307,2,1,2,1,2,1,2,1,1,0,41326,0,5
1,2,307,2,1,2,1,3,1,2,1,1,0,41401,0,5
2,24,296,1,2,2,2,3,1,2,1,1,0,41324,0,5
1,3,307,2,2,2,1,2,2,2,1,1,0,41401,0,1
2,4,299,1,1,2,1,2,2,2,1,1,0,41326,0,5
1,8,307,1,2,2,1,2,2,2,1,1,0,41336,0,2
1,3,307,2,5,2,2,1,1,2,1,1,0,41326,0,1
2,8,243,2,1,2,2,2,1,2,1,1,0,41327,0,1
1,2,307,2,1,2,1,2,1,2,1,2,0,41325,0,5
2,1,266,1,1,1,1,2,2,2,1,1,0,41326,0,7
2,10,266,1,1,3,1,2,2,2,1,1,0,41336,0,1
2,5,266,1,1,2,1,3,3,3,1,1,0,41326,0,1
2,1,266,1,1,2,1,2,2,2,1,1,0,41401,0,4
1,12,76,1,1,2,1,2,2,2,1,2,100,41326,1,5
1,3,307,1,1,3,1,1,1,2,1,2,0,41326,0,12
1,2,307,2,1,2,1,2,1,2,1,1,0,41401,0,8
1,3,307,1,2,2,2,1,1,2,1,1,0,41330,0,1
1,3,307,1,2,2,2,1,1,2,1,1,0,41326,0,1
1,2,307,2,1,2,1,3,3,3,1,1,0,41326,0,1
2,17,265,2,7,2,2,1,1,2,1,2,0,41326,0,4
2,8,266,1,6,2,1,2,2,2,1,1,50,41327,0,6
1,96,111,2,1,3,1,3,3,3,1,1,0,41336,0,2
2,8,254,2,1,1,1,3,3,1,1,1,0,41401,0,5
1,4,307,2,2,1,1,1,1,3,1,2,0,41326,0,4
2,48,276,2,1,3,3,1,1,1,1,1,0,41326,0,4
2,20,265,1,1,2,2,1,1,1,1,1,0,41330,0,7
1,24,218,1,7,2,3,1,1,1,1,1,0,41326,1,4
2,12,303,2,1,2,1,1,1,1,1,1,45,41326,0,4
2,2,266,3,1,1,1,2,2,1,1,3,0,41401,0,5
2,1,266,3,1,1,1,3,3,3,1,3,0,41326,0,5
1,4,307,1,1,2,1,2,2,2,1,2,0,41326,0,11
1,48,307,2,1,2,1,2,2,2,1,1,0,41401,0,4
2,12,266,1,1,3,1,1,1,2,1,1,0,41401,0,3
2,4,299,3,4,2,2,2,2,2,1,2,0,41336,0,5
1,60,195,2,6,2,2,1,1,1,1,1,0,41326,0,1
2,15,292,1,2,2,1,3,3,3,1,1,0,41326,0,3
1,30,103,2,1,2,2,2,2,2,1,1,0,41336,0,3
2,3,266,1,3,1,1,3,3,3,1,1,0,41401,0,4
2,3,266,3,1,3,1,2,2,2,1,4,0,41401,0,23
2,54,285,1,2,3,3,3,3,2,2,1,0,41327,0,1
