Type,Age,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,PhotoAmt,AdoptionSpeed
1,36,307,2,1,2,1,1,1,1,1,5,0,41326,1,4
1,1,307,2,1,2,2,2,1,2,1,1,0,41326,1,3
1,2,141,1,1,1,1,1,3,2,1,1,0,41401,5,1
1,2,307,1,1,1,1,1,1,2,1,1,0,41326,3,4
1,1,173,3,1,2,2,2,2,2,1,9,100,41335,5,2
1,2,307,2,2,2,1,2,1,2,1,1,0,41336,1,0
1,2,307,2,1,3,1,1,1,2,1,2,0,41326,3,4
1,12,307,2,2,2,1,1,1,1,1,1,0,41326,3,3
1,2,307,1,2,2,2,1,1,2,1,1,0,41326,5,1
1,1,307,2,2,2,1,1,1,2,1,1,0,41326,1,3
1,2,307,2,1,2,1,1,2,2,1,1,0,41327,1,4
1,3,207,1,1,1,3,1,1,3,1,1,750,41326,2,1
1,3,307,1,1,2,2,2,1,2,1,1,0,41325,1,2
1,3,307,1,5,2,2,3,3,2,1,1,0,41326,3,3
2,6,265,2,5,2,2,2,1,2,1,1,50,41326,4,3
1,1,307,2,1,2,2,2,2,2,1,2,0,41326,3,2
2,47,250,2,1,2,3,2,2,2,1,1,0,41326,2,4
1,2,189,1,1,3,2,3,3,3,1,1,0,41326,4,2
1,12,307,2,5,2,2,1,1,1,1,1,0,41330,11,3
1,2,307,1,1,2,1,1,1,2,1,1,0,41326,18,3
1,1,307,1,2,2,1,2,2,2,1,1,0,41330,5,3
2,1,266,3,2,1,2,2,2,2,1,2,0,41326,3,4
1,1,307,3,2,2,1,2,2,2,1,5,0,41326,0,4
2,24,266,1,4,3,1,2,2,2,2,1,0,41324,12,3
2,24,266,2,2,2,1,2,2,1,1,1,0,41326,1,4
1,2,307,1,1,2,1,2,2,2,1,1,0,41327,2,3
2,19,285,2,1,3,3,1,1,2,1,1,0,41401,3,1
1,4,207,2,2,1,3,3,1,1,1,1,0,41401,3,3
1,24,307,1,2,2,1,2,2,2,1,1,0,41336,3,3
2,3,265,1,1,2,2,3,3,2,1,1,0,41326,1,1
2,1,264,3,5,1,2,2,2,2,1,2,0,41401,1,2
1,24,119,2,1,2,2,3,3,1,1,1,0,41326,2,2
1,60,195,1,6,2,2,1,1,1,1,1,0,41401,3,4
1,1,307,2,1,2,2,1,1,2,1,1,0,41326,1,3
2,3,266,2,2,1,1,1,1,2,1,1,0,41326,7,1
2,2,265,1,3,1,2,2,2,2,1,1,0,41401,2,2
2,1,266,3,1,2,1,1,1,2,1,2,1,41401,3,0
1,2,307,2,1,2,1,2,2,2,1,1,0,41401,2,3
2,2,266,2,6,2,1,2,1,2,1,1,0,41401,2,1
1,3,307,2,2,2,1,1,1,2,1,1,0,41401,4,4
1,2,307,2,1,3,1,2,2,2,1,6,0,41327,5,3
2,12,299,2,3,2,2,1,2,1,1,2,0,41324,1,4
2,4,266,2,1,2,1,1,1,2,1,1,0,41401,5,2
1,120,307,1,1,3,1,3,3,3,1,1,0,41401,3,4
1,3,307,2,2,2,1,2,2,2,1,1,0,41326,4,4
2,1,265,3,2,1,2,2,2,2,1,4,0,41326,2,4
1,36,109,2,2,3,2,1,1,2,1,1,0,41326,4,1
2,3,266,2,1,1,1,2,1,2,1,1,0,41326,3,4
2,60,285,1,3,2,2,1,1,2,1,1,0,41326,0,4
2,1,266,2,2,2,1,2,1,3,1,1,0,41326,4,1
1,3,307,3,1,2,2,1,1,2,1,3,150,41326,3,1
1,36,189,1,1,3,1,1,1,1,1,1,0,41326,4,2
1,12,206,1,1,2,2,1,2,2,1,1,400,41332,1,2
2,1,266,3,1,1,1,2,3,2,1,4,0,41401,3,3
1,0,307,3,1,3,1,3,3,3,1,2,0,41326,4,1
2,1,265,1,1,1,2,2,2,2,1,1,0,41326,1,2
1,5,70,1,5,2,1,1,1,1,1,1,0,41401,6,3
1,24,103,2,1,2,2,3,3,3,1,1,0,41401,3,3
1,3,307,1,2,2,2,1,1,2,1,1,0,41326,3,1
1,3,307,2,2,1,1,3,3,3,1,3,0,41332,1,4
1,4,307,2,1,2,1,2,1,2,1,1,0,41335,5,4
2,3,266,3,1,2,2,3,3,3,1,2,0,41326,3,1
2,1,265,2,1,1,2,2,2,2,1,5,0,41332,3,2
2,8,292,1,2,2,1,1,1,2,1,1,50,41326,8,2
2,2,303,3,1,2,1,2,2,2,1,2,0,41332,2,4
1,32,307,3,1,2,1,1,1,1,1,2,0,41326,5,4
1,3,78,3,1,3,1,1,1,2,1,3,0,41326,4,2
2,12,265,1,1,2,2,2,2,2,1,1,0,41326,1,3
1,4,307,2,1,2,2,1,1,1,1,1,0,41326,10,3
1,2,307,1,1,2,1,2,3,2,1,1,0,41326,3,2
2,7,254,2,1,2,1,1,1,2,1,1,0,41326,7,2
2,5,264,1,4,2,3,2,1,2,1,1,100,41401,5,3
2,2,265,2,6,2,2,1,1,2,1,2,0,41401,4,2
1,60,10,2,1,2,1,1,1,1,1,1,0,41401,2,3
2,4,265,3,1,2,2,2,2,2,1,5,0,41401,5,2
1,120,20,1,2,2,1,1,1,2,1,2,0,41326,1,1
1,12,307,2,2,2,1,1,1,1,1,1,0,41326,2,2
2,17,266,2,1,1,1,3,3,1,1,1,0,41326,3,3
2,2,266,3,4,2,1,2,2,2,1,2,0,41401,2,2
1,48,307,1,1,2,2,1,1,1,1,1,0,41326,2,2
1,4,307,2,1,2,1,1,2,2,1,1,0,41332,2,3
2,12,305,2,3,2,2,3,1,1,1,1,0,41326,2,3
2,12,285,1,1,3,3,2,1,2,1,1,0,41326,2,1
2,3,266,2,6,2,1,1,1,2,1,1,0,41401,3,2
1,1,307,3,1,2,2,2,2,2,1,3,0,41326,11,4
1,36,78,2,1,3,2,3,3,3,2,1,0,41401,4,3
1,12,307,2,5,2,1,3,3,3,1,1,0,41326,1,4
1,2,307,2,1,2,2,1,1,2,1,1,80,41327,1,4
1,36,78,1,1,2,1,1,1,1,1,1,0,41330,1,2
2,1,265,3,1,2,2,2,2,2,1,3,0,41401,13,2
2,1,283,2,4,1,1,2,2,2,1,1,0,41401,3,1
1,0,307,2,1,2,2,3,3,3,1,5,0,41401,5,1
1,2,307,2,2,2,1,1,1,2,1,1,0,41326,4,1
1,2,307,3,1,2,1,1,1,2,1,3,30,41326,3,3
1,2,307,3,2,2,2,2,2,2,1,3,0,41326,5,4
2,36,306,3,1,2,2,1,1,1,1,5,0,41326,0,4
1,3,307,3,2,2,1,3,3,3,1,5,0,41327,1,4
1,2,307,2,1,2,2,1,1,2,1,1,0,41326,4,3
1,1,307,2,2,3,1,3,1,3,1,1,0,41401,2,2
2,2,266,2,1,2,1,2,1,2,1,1,0,41326,3,2
2,2,292,1,2,1,1,2,2,2,1,1,0,41401,1,0
1,2,307,2,1,2,1,1,1,2,1,1,80,41326,9,2
2,3,266,1,4,2,1,3,1,2,1,1,0,41401,3,4
1,17,307,1,1,2,2,1,1,1,1,1,150,41401,1,4
1,2,307,3,1,2,1,3,3,3,1,8,0,41401,5,3
2,48,299,1,1,3,1,1,1,2,1,1,20,41326,4,2
2,1,266,1,1,2,1,2,2,2,1,1,0,41326,1,2
2,5,266,2,1,2,2,2,2,2,1,1,150,41326,4,2
1,8,307,1,1,2,1,3,3,1,1,1,0,41326,3,2
1,4,307,2,7,1,1,1,1,1,1,1,0,41326,2,4
1,3,307,1,1,2,1,1,1,2,1,1,0,41326,3,3
2,72,266,1,1,2,1,1,1,1,1,1,0,41326,10,4
2,12,266,2,1,2,1,3,3,3,1,5,0,41325,4,4
1,12,307,2,1,2,2,2,1,2,1,1,0,41327,2,4
2,12,266,1,3,2,1,1,1,1,1,2,0,41401,2,4
1,22,20,1,2,2,1,1,1,2,1,1,0,41401,0,3
1,36,307,1,3,2,2,3,3,2,1,1,0,41326,3,4
1,2,307,1,5,2,2,3,3,2,1,1,0,41326,1,3
2,4,299,2,1,2,1,3,3,1,1,5,0,41336,1,4
1,12,307,2,7,2,2,1,1,2,1,1,0,41326,5,2
1,7,307,1,1,1,1,2,2,2,1,1,50,41326,1,4
1,2,307,1,1,2,1,2,2,2,1,1,0,41401,4,1
1,3,307,2,2,1,1,2,1,3,1,3,0,41326,2,4
1,24,307,2,2,2,1,1,1,1,1,1,0,41326,24,4
1,1,307,2,2,2,3,2,2,2,1,1,0,41326,3,1
1,1,307,2,2,2,1,2,2,2,1,1,0,41332,1,2
1,3,307,1,3,3,1,1,1,2,1,2,0,41326,9,2
2,5,266,1,1,1,1,1,2,3,1,1,0,41401,4,4
1,16,205,2,5,1,1,1,1,3,1,1,0,41401,3,1
2,2,266,1,3,2,1,1,1,2,1,1,0,41326,5,2
2,2,265,1,5,1,2,3,3,3,1,1,0,41327,6,4
1,7,205,1,2,2,1,1,1,3,1,1,0,41326,8,1
2,13,266,2,2,2,1,2,1,2,1,1,0,41326,5,4
1,3,307,1,1,2,1,1,1,1,1,1,0,41326,3,3
1,12,307,1,1,2,1,1,1,2,1,1,0,41326,1,4
2,3,266,1,1,1,1,1,1,2,1,1,0,41401,9,2
1,2,307,2,1,2,2,2,2,2,1,1,0,41326,1,4
2,10,266,2,4,2,1,1,1,1,1,1,0,41401,8,3
1,2,307,2,4,2,1,2,1,2,1,1,0,41326,5,1
1,2,307,1,1,2,1,2,2,2,1,1,0,41326,2,3
2,4,266,2,1,3,1,2,2,2,1,1,0,41401,8,1
1,60,109,1,2,2,2,1,1,1,1,1,0,41326,5,3
2,2,266,2,1,2,1,2,2,2,1,6,30,41326,6,4
2,12,266,2,2,2,1,1,1,1,1,1,0,41401,2,4
2,2,266,2,1,1,1,2,2,2,1,1,0,41326,5,1
2,0,292,3,2,2,1,2,2,2,2,3,0,41326,1,1
1,2,307,3,5,3,1,1,1,2,1,3,0,41326,8,3
2,6,266,2,3,2,1,2,1,1,1,1,0,41326,5,4
1,3,307,2,1,3,1,3,3,2,1,1,0,41326,2,2
1,1,307,2,1,2,2,2,1,2,1,1,0,41326,4,1
1,2,307,2,1,1,1,2,2,2,1,4,0,41327,5,1
2,3,265,1,4,2,2,2,2,2,1,1,50,41326,3,1
1,19,307,2,1,2,1,1,1,1,1,1,80,41326,3,4
2,11,266,2,1,2,1,1,1,1,1,1,50,41326,5,4
1,37,307,2,2,2,1,1,1,1,1,1,0,41326,5,4
2,4,288,2,1,1,3,2,2,3,1,1,250,41326,3,2
1,3,307,1,5,2,1,2,1,1,1,1,0,41401,6,1
1,6,307,1,1,2,1,1,1,1,1,1,0,41326,1,3
2,1,266,2,3,2,1,2,2,2,1,1,0,41326,7,2
1,5,307,1,1,2,1,3,3,3,1,1,0,41326,0,4
1,1,307,3,1,2,1,2,2,2,1,6,0,41326,5,3
2,7,266,1,1,2,1,2,1,2,1,1,0,41401,2,2
1,4,307,2,1,2,2,2,1,2,1,1,1,41401,1,4
2,1,266,2,1,2,1,2,2,2,1,1,0,41326,0,4
1,48,307,2,2,2,1,1,1,1,1,1,0,41326,1,3
1,3,69,2,2,1,1,2,2,2,1,1,0,41330,3,1
1,2,307,1,1,2,2,1,1,2,1,1,0,41326,1,1
2,4,266,1,4,1,1,1,1,3,1,1,0,41401,5,1
1,22,205,2,5,2,1,1,1,2,1,1,0,41326,3,1
1,60,179,2,2,1,3,1,1,1,1,1,0,41326,3,1
1,1,218,3,1,2,2,2,2,2,1,4,0,41326,2,1
1,3,31,1,1,2,1,3,3,2,1,1,0,41326,2,2
2,3,266,2,1,2,1,2,1,2,1,4,0,41326,5,2
2,4,265,2,5,2,2,3,3,3,1,1,0,41401,4,2
2,13,285,2,1,2,2,1,1,2,1,1,0,41326,3,1
2,1,266,1,1,1,1,3,3,3,1,1,0,41327,1,3
1,5,141,2,1,2,2,1,1,2,1,1,0,41326,8,1
1,2,307,2,1,2,2,2,1,2,1,1,0,41326,12,3
2,1,266,3,1,2,2,2,2,2,1,3,0,41401,4,1
1,2,128,2,2,2,1,1,1,2,1,1,0,41326,9,2
1,36,307,2,2,2,1,1,1,1,1,1,0,41326,1,3
1,2,307,2,1,2,1,1,1,2,1,1,0,41326,4,4
1,2,307,2,1,2,2,2,1,2,1,1,0,41326,4,2
2,2,266,2,1,2,1,2,1,2,1,1,0,41326,3,1
2,8,299,1,3,2,1,1,1,1,1,1,0,41326,2,2
2,2,265,2,1,2,2,1,1,2,1,1,0,41326,4,3
2,9,299,2,2,1,1,1,1,1,1,1,0,41401,3,2
2,6,266,2,6,2,1,3,3,3,1,1,0,41336,4,2
1,2,307,2,1,2,1,2,2,2,1,3,0,41336,3,2
1,18,20,2,2,2,1,1,1,1,1,1,0,41401,10,0
1,14,307,1,2,3,2,1,1,1,1,1,0,41336,3,0
2,3,266,1,1,1,1,2,2,2,1,2,0,41325,9,3
2,2,266,1,7,2,1,2,1,2,1,1,0,41401,2,1
1,1,307,3,1,3,1,2,1,2,1,20,50,41332,5,4
2,12,247,1,1,2,2,1,1,1,1,1,0,41326,1,4
2,12,266,2,1,2,1,2,3,1,1,1,0,41326,1,4
1,1,70,2,1,2,1,2,2,2,1,1,0,41326,5,1
2,9,266,1,1,2,1,1,1,1,1,2,0,41326,0,4
1,2,307,2,1,2,2,1,1,2,1,1,0,41326,2,3
2,2,265,3,6,1,2,2,2,2,1,4,0,41326,7,2
2,2,266,2,2,2,1,2,2,2,1,3,0,41401,4,1
1,3,307,2,2,2,1,3,3,3,1,1,0,41326,2,1
1,3,307,1,5,2,2,2,2,2,1,1,0,41327,4,1
2,6,266,2,4,1,1,1,1,1,1,1,200,41336,6,4
2,3,292,1,1,1,1,2,2,2,1,1,0,41401,1,2
1,24,307,3,1,2,1,2,2,1,1,2,0,41326,2,2
1,3,307,1,2,3,1,2,2,3,1,1,0,41401,3,2
1,24,307,2,2,2,1,1,1,1,2,1,20,41326,2,4
1,1,307,1,2,2,2,2,2,2,1,1,0,41326,1,1
1,2,307,2,1,2,2,2,1,2,1,1,250,41401,13,3
1,2,307,1,3,2,2,1,1,2,1,1,0,41326,1,2
1,7,307,2,2,2,1,1,1,2,1,1,0,41401,1,3
2,3,264,1,1,1,3,2,2,2,1,1,150,41326,3,1
1,1,307,2,2,2,1,2,2,2,1,1,0,41330,2,3
1,1,307,2,1,2,1,1,1,2,1,1,0,41326,9,2
1,55,20,1,1,2,1,1,1,1,1,1,0,41326,5,2
1,2,200,2,1,2,1,1,1,2,1,1,0,41326,3,2
1,3,307,2,1,2,2,1,1,1,1,1,0,41326,3,3
1,36,213,2,3,2,2,3,3,1,1,1,0,41326,9,3
2,1,265,2,1,2,3,2,1,2,1,1,0,41326,10,2
2,6,292,2,2,2,2,2,2,2,1,1,0,41326,3,4
2,6,265,2,2,2,2,2,2,2,1,1,0,41401,3,1
2,4,247,1,2,2,2,2,2,2,2,1,0,41326,4,1
1,2,307,2,2,2,2,1,1,2,1,1,0,41326,3,1
1,5,307,2,1,2,1,1,1,2,1,1,0,41401,1,2
2,20,265,1,1,3,2,2,1,2,1,1,0,41326,4,1
1,2,307,2,2,2,1,1,1,2,1,1,0,41401,6,3
1,7,307,1,2,2,2,1,3,3,1,1,0,41326,1,1
2,1,266,1,1,2,1,2,1,2,1,1,0,41326,6,1
1,2,307,2,1,2,2,1,1,2,1,2,0,41330,5,4
1,1,307,2,1,2,1,2,2,2,1,1,0,41332,1,3
2,28,248,1,1,3,3,1,1,2,1,1,0,41401,5,2
1,24,26,2,1,2,2,1,1,1,1,1,250,41326,9,4
1,2,307,2,1,2,1,2,1,2,1,2,0,41327,2,2
1,12,307,1,2,2,2,1,1,1,1,1,0,41326,0,4
2,4,266,1,1,2,1,2,2,2,1,1,0,41326,4,4
1,2,307,2,1,2,2,1,1,2,1,1,0,41326,4,2
2,2,265,1,4,1,1,1,1,2,1,1,0,41326,5,1
1,1,307,2,1,2,2,2,2,2,1,2,0,41336,4,1
1,1,307,2,1,1,1,2,2,2,1,1,0,41326,1,4
1,5,20,2,1,2,1,3,3,3,1,1,300,41326,1,1
2,22,265,2,1,2,2,1,1,1,1,1,0,41327,7,4
2,36,266,2,1,2,2,1,1,1,1,1,0,41332,4,4
1,36,213,2,7,2,2,1,1,1,1,1,0,41401,2,2
1,8,307,1,4,2,1,1,1,2,1,1,0,41401,2,4
1,10,307,2,7,2,1,2,1,1,1,1,0,41401,2,4
1,2,307,2,2,2,1,2,1,2,1,1,0,41326,4,4
2,2,265,1,1,1,2,2,2,2,1,1,0,41401,4,4
1,3,307,1,1,2,1,3,1,3,1,1,0,41326,2,4
1,3,307,2,1,2,1,2,2,2,1,1,0,41327,2,3
2,0,266,3,1,2,1,3,1,1,1,18,0,41326,21,4
1,60,205,2,1,1,2,3,1,1,1,1,0,41326,1,3
1,2,307,1,2,2,1,1,1,2,1,1,0,41401,1,2
1,2,307,3,2,2,1,2,2,2,1,6,0,41326,5,4
2,12,265,1,2,2,2,1,1,1,1,1,0,41326,2,1
1,1,307,2,1,2,2,2,1,2,1,1,0,41326,1,3
2,2,266,1,3,3,1,3,3,3,1,2,0,41327,5,2
2,2,266,3,7,2,1,2,1,2,1,3,0,41336,4,1
1,1,307,2,7,2,2,2,2,2,1,1,0,41330,1,3
1,24,307,2,7,3,1,3,3,1,2,1,0,41327,2,4
1,3,307,2,2,2,1,1,1,1,1,1,200,41326,6,4
2,2,266,3,1,2,1,2,1,2,1,4,0,41401,8,4
1,2,307,1,1,2,1,2,2,2,1,1,0,41326,7,3
2,12,265,1,1,1,2,3,3,3,1,1,0,41326,1,4
1,12,307,2,2,2,2,2,1,2,1,1,0,41327,1,4
1,1,307,1,2,2,1,1,1,2,1,1,0,41326,1,3
2,11,266,2,1,2,1,1,1,1,1,1,0,41326,11,2
1,74,205,1,2,2,2,3,1,3,1,1,0,41326,2,2
1,36,218,2,2,2,3,1,1,1,1,1,0,41326,3,3
1,3,307,2,2,2,2,2,1,2,1,1,0,41326,3,3
1,2,307,2,1,2,1,1,1,2,1,1,0,41326,6,3
1,3,307,2,1,2,2,1,1,2,1,1,0,41326,4,3
1,48,179,1,7,1,1,1,1,2,1,1,0,41401,1,1
2,3,266,3,2,1,1,3,1,1,1,7,60,41401,5,3
1,2,307,2,1,2,1,1,1,1,1,1,0,41326,8,3
1,36,179,1,2,1,2,3,3,2,1,1,0,41326,3,2
2,3,264,1,1,2,3,2,1,2,1,1,0,41326,5,2
2,4,266,2,1,1,1,2,2,2,1,1,0,41326,3,1
1,2,307,3,2,2,1,2,2,2,1,5,0,41326,2,1
1,1,141,1,1,2,1,2,1,2,1,1,0,41327,5,3
1,60,195,1,1,2,1,1,1,1,1,1,0,41325,1,2
1,2,307,2,1,2,2,1,1,2,1,1,0,41326,1,2
1,4,307,2,1,2,2,1,1,2,1,1,0,41326,4,4
2,3,266,3,1,3,2,1,1,2,1,4,0,41327,9,3
2,2,266,2,1,2,1,2,1,2,1,1,0,41401,1,1
1,3,307,2,3,2,1,1,1,1,1,1,0,41327,7,4
1,2,307,2,1,2,2,2,2,2,1,1,0,41330,1,2
2,1,265,2,7,1,2,2,1,2,1,1,0,41335,10,1
1,18,307,2,1,2,1,1,1,1,1,1,0,41326,3,4
2,1,264,3,1,1,2,2,2,2,1,2,0,41326,1,4
2,3,266,1,3,2,1,1,1,2,1,1,20,41326,0,2
2,6,265,1,6,2,2,1,1,1,1,1,120,41326,5,2
2,6,299,3,3,3,2,3,3,3,1,2,0,41326,11,2
1,2,307,1,1,2,1,1,1,2,1,1,0,41326,14,2
1,24,307,2,2,2,1,3,3,3,1,1,0,41336,6,3
2,6,266,1,1,2,1,3,3,3,1,1,0,41401,3,4
1,2,307,2,2,2,2,2,1,2,1,1,0,41326,4,2
1,48,205,1,1,1,2,1,1,2,1,1,0,41401,0,1
1,2,307,1,2,2,1,2,2,2,1,1,1,41336,3,1
2,3,266,2,6,2,1,2,1,2,1,1,0,41336,3,2
2,1,266,3,1,2,1,2,1,2,1,4,0,41335,4,1
1,53,307,1,7,2,2,1,3,3,1,1,0,41326,1,4
2,1,243,1,1,1,1,2,2,2,1,1,0,41345,1,4
2,7,264,1,1,2,2,1,1,1,1,1,0,41326,15,4
2,4,266,2,1,1,1,2,2,2,1,1,0,41401,3,2
1,1,307,1,2,2,2,2,1,2,1,1,0,41326,1,2
2,1,266,1,1,2,1,2,1,2,1,1,0,41401,4,2
1,2,307,3,1,1,1,2,1,2,1,2,0,41401,1,2
1,48,307,1,2,2,1,3,3,3,1,1,0,41326,1,4
1,1,307,3,1,2,1,3,3,3,1,2,0,41327,1,4
2,2,247,2,6,1,1,2,2,2,1,1,0,41401,5,1
1,1,78,1,1,2,1,3,3,2,1,1,0,41326,7,2
1,48,205,3,2,1,3,1,1,2,2,2,300,41336,5,2
2,1,266,3,1,1,1,2,2,2,1,4,0,41326,0,2
2,3,266,2,5,2,1,1,1,1,1,1,100,41326,1,4
1,7,25,2,2,3,2,1,1,2,1,1,0,41326,1,1
1,3,307,1,1,2,1,1,1,2,1,1,0,41326,1,4
1,1,307,2,1,2,1,1,1,2,1,1,0,41326,6,2
2,3,266,2,7,1,1,2,2,2,1,1,0,41327,3,3
2,3,266,2,1,2,1,2,2,2,1,1,0,41326,3,2
1,12,307,1,1,2,2,3,3,1,1,1,150,41332,3,4
1,2,0,2,2,2,1,1,1,2,1,1,0,41326,3,3
1,2,307,2,1,1,1,2,2,2,1,5,0,41326,16,2
1,3,129,2,1,1,2,3,1,2,1,1,0,41326,1,4
1,25,195,1,6,2,3,1,1,2,1,1,100,41326,2,1
2,14,266,2,2,2,1,3,3,3,1,1,0,41326,2,1
1,1,307,3,1,3,2,2,1,2,1,12,0,41326,5,2
1,1,307,2,2,2,2,1,1,2,1,1,0,41326,1,3
2,1,266,2,2,1,1,3,3,2,1,1,30,41326,1,4
1,10,141,2,1,2,2,1,1,2,1,1,0,41326,2,1
2,7,266,1,6,2,1,2,1,2,1,2,0,41326,3,4
2,2,266,2,1,1,1,2,2,2,1,2,0,41326,4,4
1,1,307,2,1,2,2,2,2,2,1,1,0,41401,5,1
2,12,265,2,1,2,2,1,1,1,1,1,150,41326,1,1
1,84,109,1,2,2,2,1,1,1,2,1,0,41326,1,4
2,3,266,1,3,2,1,2,2,2,1,1,0,41401,1,1
1,6,307,2,1,2,2,2,1,2,1,1,0,41326,4,4
2,4,266,1,1,1,1,1,1,2,1,2,40,41401,5,4
1,8,307,1,2,2,1,1,1,2,1,1,0,41401,10,2
2,1,266,2,1,2,1,2,2,2,1,3,0,41401,8,3
2,1,266,2,1,2,1,2,1,2,1,1,0,41326,3,0
2,18,265,2,5,2,1,2,2,2,1,1,0,41401,3,0
2,2,266,2,1,1,1,2,2,2,1,1,0,41326,2,4
2,36,266,2,1,2,2,2,2,1,1,1,0,41401,4,4
1,2,307,2,2,2,2,3,3,2,1,1,0,41326,2,3
1,6,307,3,1,2,2,1,3,3,1,2,0,41326,1,4
2,2,266,1,2,1,1,2,2,2,1,1,0,41326,2,3
1,1,307,2,1,3,1,2,2,2,1,1,50,41401,9,1
2,18,266,1,4,2,1,1,1,1,1,1,0,41401,1,4
